H 6-31G*
S   3
  1     18.7100000              0.0140310        
  2      4.1330000              0.0868660        
  3      1.2000000              0.2902160        
P   1
  1      0.3827000              1.0000000        
P   1
  1      0.1209000              1.0000000        
P   1
  1      0.0356900              1.0000000        
D   1
  1      1.0970000              1.0000000        
D   1
  1      0.3180000              1.0000000        
D   1
  1      0.1000000              1.0000000        
F   1
  1      0.7610000              1.0000000        
F   1
  1      0.2680000              1.0000000        

N aug-cc-pvtz
S   8
  1  11420.0000000              0.0005230        
  2   1712.0000000              0.0040450        
  3    389.3000000              0.0207750        
  4    110.0000000              0.0807270        
  5     35.5700000              0.2330740        
  6     12.5400000              0.4335010        
  7      4.6440000              0.3474720        
  8      0.5118000             -0.0085080        
S   8
  1  11420.0000000             -0.0001150        
  2   1712.0000000             -0.0008950        
  3    389.3000000             -0.0046240        
  4    110.0000000             -0.0185280        
  5     35.5700000             -0.0573390        
  6     12.5400000             -0.1320760        
  7      4.6440000             -0.1725100        
  8      0.5118000              0.5999440        
S   1
  1      1.2930000              1.0000000        
S   1
  1      0.1787000              1.0000000        
S   1
  1      0.0576000              1.0000000        
P   3
  1     26.6300000              0.0146700        
  2      5.9480000              0.0917640        
  3      1.7420000              0.2986830        
P   1
  1      0.5550000              1.0000000        
P   1
  1      0.1725000              1.0000000        
P   1
  1      0.0491000              1.0000000        
D   1
  1      1.6540000              1.0000000        
D   1
  1      0.4690000              1.0000000        
D   1
  1      0.1510000              1.0000000        
F   1
  1      1.0930000              1.0000000        
F   1
  1      0.3640000              1.0000000        

O aug-cc-pvtz
S   8
  1  15330.0000000              0.0005080        
  2   2299.0000000              0.0039290        
  3    522.4000000              0.0202430        
  4    147.3000000              0.0791810        
  5     47.5500000              0.2306870        
  6     16.7600000              0.4331180        
  7      6.2070000              0.3502600        
  8      0.6882000             -0.0081540        
S   8
  1  15330.0000000             -0.0001150        
  2   2299.0000000             -0.0008950        
  3    522.4000000             -0.0046360        
  4    147.3000000             -0.0187240        
  5     47.5500000             -0.0584630        
  6     16.7600000             -0.1364630        
  7      6.2070000             -0.1757400        
  8      0.6882000              0.6034180        
S   1
  1      1.7520000              1.0000000        
S   1
  1      0.2384000              1.0000000        
S   1
  1      0.0737600              1.0000000        
P   3
  1     34.4600000              0.0159280        
  2      7.7490000              0.0997400        
  3      2.2800000              0.3104920        
P   1
  1      0.7156000              1.0000000        
P   1
  1      0.2140000              1.0000000        
P   1
  1      0.0597400              1.0000000        
D   1
  1      2.3140000              1.0000000        
D   1
  1      0.6450000              1.0000000        
D   1
  1      0.2140000              1.0000000        
F   1
  1      1.4280000              1.0000000        
F   1
  1      0.5000000              1.0000000        

S aug-cc-pvtz
S   13
  1 374100.0000000              0.542140D-04     
  2  56050.0000000              0.420855D-03     
  3  12760.0000000              0.220698D-02     
  4   3615.0000000              0.919258D-02     
  5   1183.0000000              0.321123D-01     
  6    428.8000000              0.946683D-01     
  7    167.8000000              0.223630D+00     
  8     69.4700000              0.374393D+00     
  9     29.8400000              0.329108D+00     
 10     12.7200000              0.847038D-01     
 11      5.2440000              0.440851D-03     
 12      2.2190000              0.164827D-02     
 13      0.3490000              0.301306D-03     
S   13
  1 374100.0000000             -0.149837D-04     
  2  56050.0000000             -0.116198D-03     
  3  12760.0000000             -0.611583D-03     
  4   3615.0000000             -0.255370D-02     
  5   1183.0000000             -0.908708D-02     
  6    428.8000000             -0.277045D-01     
  7    167.8000000             -0.720020D-01     
  8     69.4700000             -0.146439D+00     
  9     29.8400000             -0.195150D+00     
 10     12.7200000              0.819193D-02     
 11      5.2440000              0.516601D+00     
 12      2.2190000              0.542178D+00     
 13      0.3490000             -0.918072D-02     
S   13
  1 374100.0000000              0.435066D-05     
  2  56050.0000000              0.337140D-04     
  3  12760.0000000              0.177674D-03     
  4   3615.0000000              0.741116D-03     
  5   1183.0000000              0.264591D-02     
  6    428.8000000              0.807487D-02     
  7    167.8000000              0.212276D-01     
  8     69.4700000              0.438323D-01     
  9     29.8400000              0.612716D-01     
 10     12.7200000             -0.361510D-02     
 11      5.2440000             -0.204510D+00     
 12      2.2190000             -0.381871D+00     
 13      0.3490000              0.714147D+00     
S   1
  1      0.7767000              1.0000000        
S   1
  1      0.1322000              1.0000000        
S   1
  1      0.0497000              1.0000000        
P   7
  1    574.4000000              0.242264D-02     
  2    135.8000000              0.192796D-01     
  3     43.1900000              0.885401D-01     
  4     15.8700000              0.254654D+00     
  5      6.2080000              0.433984D+00     
  6      2.4830000              0.354953D+00     
  7      0.3229000             -0.502977D-02     
P   7
  1    574.4000000             -0.620102D-03     
  2    135.8000000             -0.493882D-02     
  3     43.1900000             -0.232647D-01     
  4     15.8700000             -0.685195D-01     
  5      6.2080000             -0.123896D+00     
  6      2.4830000             -0.969499D-01     
  7      0.3229000              0.569394D+00     
P   1
  1      0.8688000              1.0000000        
P   1
  1      0.1098000              1.0000000        
P   1
  1      0.0351000              1.0000000        
D   1
  1      0.2690000              1.0000000        
D   1
  1      0.8190000              1.0000000        
D   1
  1      0.1010000              1.0000000        
F   1
  1      0.5570000              1.0000000        
F   1
  1      0.2180000              1.0000000        

Ne aug-cc-pvtz
S   8
  1  24350.0000000              0.0005020        
  2   3650.0000000              0.0038810        
  3    829.6000000              0.0199970        
  4    234.0000000              0.0784180        
  5     75.6100000              0.2296760        
  6     26.7300000              0.4327220        
  7      9.9270000              0.3506420        
  8      1.1020000             -0.0076450        
S   8
  1  24350.0000000             -0.0001180        
  2   3650.0000000             -0.0009150        
  3    829.6000000             -0.0047370        
  4    234.0000000             -0.0192330        
  5     75.6100000             -0.0603690        
  6     26.7300000             -0.1425080        
  7      9.9270000             -0.1777100        
  8      1.1020000              0.6058360        
S   1
  1      2.8360000              1.0000000        
S   1
  1      0.3782000              1.0000000        
S   1
  1      0.1133000              1.0000000        
P   3
  1     54.7000000              0.0171510        
  2     12.4300000              0.1076560        
  3      3.6790000              0.3216810        
P   1
  1      1.1430000              1.0000000        
P   1
  1      0.3300000              1.0000000        
P   1
  1      0.0917500              1.0000000        
D   1
  1      4.0140000              1.0000000        
D   1
  1      1.0960000              1.0000000        
D   1
  1      0.3860000              1.0000000        
F   1
  1      2.5440000              1.0000000        
F   1
  1      1.0840000              1.0000000        

H aug-cc-pvdz
S   3
  1     13.0100000              0.0196850        
  2      1.9620000              0.1379770        
  3      0.4446000              0.4781480        
S   1
  1      0.1220000              1.0000000        
S   1
  1      0.0297400              1.0000000        
P   1
  1      0.7270000              1.0000000        
P   1
  1      0.1410000              1.0000000        

C aug-cc-pvdz
S   8
  1   6665.0000000              0.0006920        
  2   1000.0000000              0.0053290        
  3    228.0000000              0.0270770        
  4     64.7100000              0.1017180        
  5     21.0600000              0.2747400        
  6      7.4950000              0.4485640        
  7      2.7970000              0.2850740        
  8      0.5215000              0.0152040        
S   8
  1   6665.0000000             -0.0001460        
  2   1000.0000000             -0.0011540        
  3    228.0000000             -0.0057250        
  4     64.7100000             -0.0233120        
  5     21.0600000             -0.0639550        
  6      7.4950000             -0.1499810        
  7      2.7970000             -0.1272620        
  8      0.5215000              0.5445290        
S   1
  1      0.1596000              1.0000000        
S   1
  1      0.0469000              1.0000000        
P   3
  1      9.4390000              0.0381090        
  2      2.0020000              0.2094800        
  3      0.5456000              0.5085570        
P   1
  1      0.1517000              1.0000000        
P   1
  1      0.0404100              1.0000000        
D   1
  1      0.5500000              1.0000000        
D   1
  1      0.1510000              1.0000000        

N aug-cc-pvdz
S   8
  1   9046.0000000              0.0007000        
  2   1357.0000000              0.0053890        
  3    309.3000000              0.0274060        
  4     87.7300000              0.1032070        
  5     28.5600000              0.2787230        
  6     10.2100000              0.4485400        
  7      3.8380000              0.2782380        
  8      0.7466000              0.0154400        
S   8
  1   9046.0000000             -0.0001530        
  2   1357.0000000             -0.0012080        
  3    309.3000000             -0.0059920        
  4     87.7300000             -0.0245440        
  5     28.5600000             -0.0674590        
  6     10.2100000             -0.1580780        
  7      3.8380000             -0.1218310        
  8      0.7466000              0.5490030        
S   1
  1      0.2248000              1.0000000        
S   1
  1      0.0612400              1.0000000        
P   3
  1     13.5500000              0.0399190        
  2      2.9170000              0.2171690        
  3      0.7973000              0.5103190        
P   1
  1      0.2185000              1.0000000        
P   1
  1      0.0561100              1.0000000        
D   1
  1      0.8170000              1.0000000        
D   1
  1      0.2300000              1.0000000        

O aug-cc-pvdz
S   8
  1  11720.0000000              0.0007100        
  2   1759.0000000              0.0054700        
  3    400.8000000              0.0278370        
  4    113.7000000              0.1048000        
  5     37.0300000              0.2830620        
  6     13.2700000              0.4487190        
  7      5.0250000              0.2709520        
  8      1.0130000              0.0154580        
S   8
  1  11720.0000000             -0.0001600        
  2   1759.0000000             -0.0012630        
  3    400.8000000             -0.0062670        
  4    113.7000000             -0.0257160        
  5     37.0300000             -0.0709240        
  6     13.2700000             -0.1654110        
  7      5.0250000             -0.1169550        
  8      1.0130000              0.5573680        
S   1
  1      0.3023000              1.0000000        
S   1
  1      0.0789600              1.0000000        
P   3
  1     17.7000000              0.0430180        
  2      3.8540000              0.2289130        
  3      1.0460000              0.5087280        
P   1
  1      0.2753000              1.0000000        
P   1
  1      0.0685600              1.0000000        
D   1
  1      1.1850000              1.0000000        
D   1
  1      0.3320000              1.0000000        

S aug-cc-pvdz
S   11
  1 110800.0000000              0.247635D-03     
  2  16610.0000000              0.192026D-02     
  3   3781.0000000              0.996192D-02     
  4   1071.0000000              0.402975D-01     
  5    349.8000000              0.128604D+00     
  6    126.3000000              0.303480D+00     
  7     49.2600000              0.421432D+00     
  8     20.1600000              0.230781D+00     
  9      5.7200000              0.178971D-01     
 10      2.1820000             -0.297516D-02     
 11      0.4327000              0.849522D-03     
S   11
  1 110800.0000000             -0.687039D-04     
  2  16610.0000000             -0.527681D-03     
  3   3781.0000000             -0.279671D-02     
  4   1071.0000000             -0.112651D-01     
  5    349.8000000             -0.388834D-01     
  6    126.3000000             -0.995025D-01     
  7     49.2600000             -0.199740D+00     
  8     20.1600000             -0.123360D+00     
  9      5.7200000              0.513194D+00     
 10      2.1820000              0.607120D+00     
 11      0.4327000              0.396753D-01     
S   11
  1 110800.0000000              0.199077D-04     
  2  16610.0000000              0.153483D-03     
  3   3781.0000000              0.809503D-03     
  4   1071.0000000              0.328974D-02     
  5    349.8000000              0.112967D-01     
  6    126.3000000              0.296385D-01     
  7     49.2600000              0.599851D-01     
  8     20.1600000              0.413248D-01     
  9      5.7200000             -0.207474D+00     
 10      2.1820000             -0.392889D+00     
 11      0.4327000              0.632840D+00     
S   1
  1      0.1570000              1.0000000        
S   1
  1      0.0507000              1.0000000        
P   7
  1    399.7000000              0.447541D-02     
  2     94.1900000              0.341708D-01     
  3     29.7500000              0.144250D+00     
  4     10.7700000              0.353928D+00     
  5      4.1190000              0.459085D+00     
  6      1.6250000              0.206383D+00     
  7      0.4726000              0.102141D-01     
P   7
  1    399.7000000             -0.116251D-02     
  2     94.1900000             -0.865664D-02     
  3     29.7500000             -0.390886D-01     
  4     10.7700000             -0.934625D-01     
  5      4.1190000             -0.147994D+00     
  6      1.6250000              0.301904D-01     
  7      0.4726000              0.561573D+00     
P   1
  1      0.1407000              1.0000000        
P   1
  1      0.0399000              1.0000000        
D   1
  1      0.4790000              1.0000000        
D   1
  1      0.1520000              1.0000000        

F aug-cc-pvdz
S   8
  1  14710.0000000              0.0007210        
  2   2207.0000000              0.0055530        
  3    502.8000000              0.0282670        
  4    142.6000000              0.1064440        
  5     46.4700000              0.2868140        
  6     16.7000000              0.4486410        
  7      6.3560000              0.2647610        
  8      1.3160000              0.0153330        
S   8
  1  14710.0000000             -0.0001650        
  2   2207.0000000             -0.0013080        
  3    502.8000000             -0.0064950        
  4    142.6000000             -0.0266910        
  5     46.4700000             -0.0736900        
  6     16.7000000             -0.1707760        
  7      6.3560000             -0.1123270        
  8      1.3160000              0.5628140        
S   1
  1      0.3897000              1.0000000        
S   1
  1      0.0986300              1.0000000        
P   3
  1     22.6700000              0.0448780        
  2      4.9770000              0.2357180        
  3      1.3470000              0.5085210        
P   1
  1      0.3471000              1.0000000        
P   1
  1      0.0850200              1.0000000        
D   1
  1      1.6400000              1.0000000        
D   1
